state_code,state,year,pct_of_2019,diff,above,below
ACT,Australian Capital Territory,2019.0,100.0,0.0,0,0
ACT,Australian Capital Territory,2019.0417,99.6375,-0.3625,0,-0.3625
ACT,Australian Capital Territory,2019.0833,99.275,-0.725,0,-0.725
ACT,Australian Capital Territory,2019.125,98.9125,-1.0875,0,-1.0875
ACT,Australian Capital Territory,2019.1667,98.55,-1.45,0,-1.45
ACT,Australian Capital Territory,2019.2083,98.1875,-1.8125,0,-1.8125
ACT,Australian Capital Territory,2019.25,97.825,-2.175,0,-2.175
ACT,Australian Capital Territory,2019.2917,97.4625,-2.5375,0,-2.5375
ACT,Australian Capital Territory,2019.3333,97.1,-2.9,0,-2.9
ACT,Australian Capital Territory,2019.375,96.7375,-3.2625,0,-3.2625
ACT,Australian Capital Territory,2019.4167,96.375,-3.625,0,-3.625
ACT,Australian Capital Territory,2019.4583,96.0125,-3.9875,0,-3.9875
ACT,Australian Capital Territory,2019.5,95.65,-4.35,0,-4.35
ACT,Australian Capital Territory,2019.5417,95.2875,-4.7125,0,-4.7125
ACT,Australian Capital Territory,2019.5833,94.925,-5.075,0,-5.075
ACT,Australian Capital Territory,2019.625,94.5625,-5.4375,0,-5.4375
ACT,Australian Capital Territory,2019.6667,94.2,-5.8,0,-5.8
ACT,Australian Capital Territory,2019.7083,93.8375,-6.1625,0,-6.1625
ACT,Australian Capital Territory,2019.75,93.475,-6.525,0,-6.525
ACT,Australian Capital Territory,2019.7917,93.1125,-6.8875,0,-6.8875
ACT,Australian Capital Territory,2019.8333,92.75,-7.25,0,-7.25
ACT,Australian Capital Territory,2019.875,92.3875,-7.6125,0,-7.6125
ACT,Australian Capital Territory,2019.9167,92.025,-7.975,0,-7.975
ACT,Australian Capital Territory,2019.9583,91.6625,-8.3375,0,-8.3375
ACT,Australian Capital Territory,2020.0,91.3,-8.7,0,-8.7
ACT,Australian Capital Territory,2020.0417,91.2625,-8.7375,0,-8.7375
ACT,Australian Capital Territory,2020.0833,91.225,-8.775,0,-8.775
ACT,Australian Capital Territory,2020.125,91.1875,-8.8125,0,-8.8125
ACT,Australian Capital Territory,2020.1667,91.15,-8.85,0,-8.85
ACT,Australian Capital Territory,2020.2083,91.1125,-8.8875,0,-8.8875
ACT,Australian Capital Territory,2020.25,91.075,-8.925,0,-8.925
ACT,Australian Capital Territory,2020.2917,91.0375,-8.9625,0,-8.9625
ACT,Australian Capital Territory,2020.3333,91.0,-9.0,0,-9.0
ACT,Australian Capital Territory,2020.375,90.9625,-9.0375,0,-9.0375
ACT,Australian Capital Territory,2020.4167,90.925,-9.075,0,-9.075
ACT,Australian Capital Territory,2020.4583,90.8875,-9.1125,0,-9.1125
ACT,Australian Capital Territory,2020.5,90.85,-9.15,0,-9.15
ACT,Australian Capital Territory,2020.5417,90.8125,-9.1875,0,-9.1875
ACT,Australian Capital Territory,2020.5833,90.775,-9.225,0,-9.225
ACT,Australian Capital Territory,2020.625,90.7375,-9.2625,0,-9.2625
ACT,Australian Capital Territory,2020.6667,90.7,-9.3,0,-9.3
ACT,Australian Capital Territory,2020.7083,90.6625,-9.3375,0,-9.3375
ACT,Australian Capital Territory,2020.75,90.625,-9.375,0,-9.375
ACT,Australian Capital Territory,2020.7917,90.5875,-9.4125,0,-9.4125
ACT,Australian Capital Territory,2020.8333,90.55,-9.45,0,-9.45
ACT,Australian Capital Territory,2020.875,90.5125,-9.4875,0,-9.4875
ACT,Australian Capital Territory,2020.9167,90.475,-9.525,0,-9.525
ACT,Australian Capital Territory,2020.9583,90.4375,-9.5625,0,-9.5625
ACT,Australian Capital Territory,2021.0,90.4,-9.6,0,-9.6
ACT,Australian Capital Territory,2021.0417,90.6708,-9.3292,0,-9.3292
ACT,Australian Capital Territory,2021.0833,90.9417,-9.0583,0,-9.0583
ACT,Australian Capital Territory,2021.125,91.2125,-8.7875,0,-8.7875
ACT,Australian Capital Territory,2021.1667,91.4833,-8.5167,0,-8.5167
