nationality,year,enrolments
China,2019,260067
China,2020,229378
China,2021,198797
China,2022,177911
China,2023,191035
China,2024,221088
China,2025,227348
India,2019,142887
India,2020,147553
India,2021,128579
India,2022,126863
India,2023,161341
India,2024,180486
India,2025,182007
Nepal,2019,68910
Nepal,2020,70644
Nepal,2021,59318
Nepal,2022,70852
Nepal,2023,80689
Nepal,2024,86845
Nepal,2025,89295
Philippines,2019,21129
Philippines,2020,24713
Philippines,2021,20172
Philippines,2022,21309
Philippines,2023,42398
Philippines,2024,56646
Philippines,2025,47614
Vietnam,2019,31728
Vietnam,2020,29481
Vietnam,2021,24639
Vietnam,2022,26313
Vietnam,2023,39802
Vietnam,2024,48912
Vietnam,2025,45306
Colombia,2019,31705
Colombia,2020,32648
Colombia,2021,23449
Colombia,2022,28297
Colombia,2023,52947
Colombia,2024,54432
Colombia,2025,39780
Bangladesh,2019,7849
Bangladesh,2020,7864
Bangladesh,2021,7070
Bangladesh,2022,8318
Bangladesh,2023,13890
Bangladesh,2024,22109
Bangladesh,2025,32477
Pakistan,2019,19088
Pakistan,2020,19663
Pakistan,2021,17335
Pakistan,2022,20572
Pakistan,2023,31989
Pakistan,2024,32405
Pakistan,2025,31738
Indonesia,2019,22636
Indonesia,2020,22305
Indonesia,2021,19564
Indonesia,2022,20216
Indonesia,2023,25784
Indonesia,2024,30449
Indonesia,2025,31565
Brazil,2019,40726
Brazil,2020,33342
Brazil,2021,21646
Brazil,2022,24480
Brazil,2023,33917
Brazil,2024,34987
Brazil,2025,30314
Other,2019,305667
Other,2020,262283
Other,2021,195223
Other,2022,216942
Other,2023,295169
Other,2024,320132
Other,2025,299209
