sector,year,enrolments
ELICOS,2019,156459
ELICOS,2020,104722
ELICOS,2021,41841
ELICOS,2022,79357
ELICOS,2023,161396
ELICOS,2024,144198
ELICOS,2025,93063
Higher Education,2019,440869
Higher Education,2020,418365
Higher Education,2021,365649
Higher Education,2022,359927
Higher Education,2023,434653
Higher Education,2024,497173
Higher Education,2025,544806
Non-award,2019,48219
Non-award,2020,32328
Non-award,2021,13589
Non-award,2022,20109
Non-award,2023,32246
Non-award,2024,36039
Non-award,2025,35679
Schools,2019,25459
Schools,2020,20070
Schools,2021,13018
Schools,2022,11711
Schools,2023,15824
Schools,2024,19616
Schools,2025,20319
VET,2019,281386
VET,2020,304389
VET,2021,281695
VET,2022,270969
VET,2023,324842
VET,2024,391465
VET,2025,362786
