nationality,sector,enrolments
China,Higher Education,168246
China,VET,20020
China,ELICOS,22049
China,Schools,7250
China,Non-award,9783
India,Higher Education,102222
India,VET,77466
India,ELICOS,1375
India,Schools,314
India,Non-award,630
Nepal,Higher Education,59320
Nepal,VET,26057
Nepal,ELICOS,3472
Nepal,Schools,31
Nepal,Non-award,415
Philippines,Higher Education,9068
Philippines,VET,37564
Philippines,ELICOS,740
Philippines,Schools,104
Philippines,Non-award,138
Vietnam,Higher Education,24243
Vietnam,VET,13202
Vietnam,ELICOS,2979
Vietnam,Schools,3929
Vietnam,Non-award,953
Colombia,Higher Education,2432
Colombia,VET,24822
Colombia,ELICOS,12460
Colombia,Schools,14
Colombia,Non-award,52
Bangladesh,Higher Education,25776
Bangladesh,VET,5117
Bangladesh,ELICOS,981
Bangladesh,Schools,87
Bangladesh,Non-award,516
Pakistan,Higher Education,13691
Pakistan,VET,17637
Pakistan,ELICOS,257
Pakistan,Schools,32
Pakistan,Non-award,121
Indonesia,Higher Education,15701
Indonesia,VET,14416
Indonesia,ELICOS,706
Indonesia,Schools,116
Indonesia,Non-award,626
Brazil,Higher Education,2166
Brazil,VET,17702
Brazil,ELICOS,9980
Brazil,Schools,405
Brazil,Non-award,61
Thailand,Higher Education,3462
Thailand,VET,21576
Thailand,ELICOS,3572
Thailand,Schools,222
Thailand,Non-award,167
Sri Lanka,Higher Education,18271
Sri Lanka,VET,6795
Sri Lanka,ELICOS,256
Sri Lanka,Schools,161
Sri Lanka,Non-award,102
Malaysia,Higher Education,9516
Malaysia,VET,6887
Malaysia,ELICOS,315
Malaysia,Schools,110
Malaysia,Non-award,952
South Korea,Higher Education,5587
South Korea,VET,6905
South Korea,ELICOS,3026
South Korea,Schools,1134
South Korea,Non-award,560
Bhutan,Higher Education,12076
Bhutan,VET,2923
Bhutan,ELICOS,356
Bhutan,Schools,13
Bhutan,Non-award,84
