nationality,year,enrolments,direction,mult
China,2019,260067,Decline,0.87
China,2025,227348,Decline,0.87
India,2019,142887,Growth,1.27
India,2025,182007,Growth,1.27
Nepal,2019,68910,Growth,1.30
Nepal,2025,89295,Growth,1.30
Philippines,2019,21129,Growth,2.25
Philippines,2025,47614,Growth,2.25
Vietnam,2019,31728,Growth,1.43
Vietnam,2025,45306,Growth,1.43
Colombia,2019,31705,Growth,1.25
Colombia,2025,39780,Growth,1.25
Bangladesh,2019,7849,Growth,4.14
Bangladesh,2025,32477,Growth,4.14
Pakistan,2019,19088,Growth,1.66
Pakistan,2025,31738,Growth,1.66
Indonesia,2019,22636,Growth,1.39
Indonesia,2025,31565,Growth,1.39
Brazil,2019,40726,Decline,0.74
Brazil,2025,30314,Decline,0.74
